accept,reject
which we,anonymous
neural,will be
yet,https anonymous
principled,4open science
for learning,4open
compositional,anonymous 4open
equivariant,science
outperforms,will
supervision,code will
dense,resource
queries,datasets
circuit,loss function
predictions,sentiment
the first,model performance
expressive,path
tau,approach
com,available
existing,reduced
camera,environment
patterns,factorization
