accept,reject
appendix,dataset
in appendix,proposed
in cvpr,approach
2018,mnist
app,datasets
theorem,was
fig,loss function
dynamics,techniques
see,mathrm mathrm
pages,10 1109
preprint,adaptive
al 2018,1109
see appendix,gets
arxiv preprint,system
mathrm,distributional
p_ mathrm,cdot
queries,array
eq,process
c_,optimizers
cvpr,softmax
