accept,reject
appendix,dataset
sup,mnist
university,approach
in appendix,proposed
edu,review
sup sup,gets
university of,techniques
supported,loss function
in cvpr,double
2018,review abstract
app,double blind
dynamics,authors paper
fig,anonymous authors
com,paper under
supported by,under double
eq,datasets
pages,blind review
details,algorithm
theorem,quot
mathrm,hidden
