accept,reject
appendix,dataset
in appendix,proposed
in cvpr,approach
2018,mnist
app,datasets
theorem,was
dynamics,loss function
fig,techniques
see,mathrm mathrm
preprint,10 1109
pages,adaptive
mathrm,1109
al 2018,gets
arxiv preprint,system
see appendix,array
p_ mathrm,distributional
queries,cdot
eq,process
c_,optimizers
in mathcal,softmax
