0-0.25,0.25-0.5,0.5-0.75,0.75-1
of,of,of,of
in,in,in,in
to,to,to,to
for,for,is,on
with,on,for,for
is,is,that,is
on,with,on,our
as,that,with,al
that,et,our,that
et,et al,of the,with
et al,al,et,et al
al,of the,et al,et
model,as,al,section
our,are,are,results
are,our,as,model
